DATE,CPI,exchange_rate,gsec_int_rates,t_int_rates,LTg_yields,M0,M1,M2,M3,total_reserves,Ex_Im
01-Dec-50, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN ,0.26, NaN 
01-Jan-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Feb-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Mar-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Apr-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-May-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jun-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jul-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Aug-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Sep-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Oct-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Nov-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Dec-51, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN ,0.22, NaN 
01-Jan-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Feb-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Mar-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Apr-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-May-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jun-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jul-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Aug-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Sep-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Oct-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Nov-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Dec-52, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN ,0.24, NaN 
01-Jan-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Feb-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Mar-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Apr-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-May-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jun-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jul-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Aug-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Sep-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Oct-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Nov-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Dec-53, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN ,0.14, NaN 
01-Jan-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Feb-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Mar-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Apr-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-May-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jun-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jul-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Aug-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Sep-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Oct-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Nov-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Dec-54, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN ,0.24, NaN 
01-Jan-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Feb-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Mar-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Apr-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-May-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jun-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Jul-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Aug-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Sep-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Oct-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Nov-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Dec-55, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN ,0.18, NaN 
01-Jan-56, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Feb-56, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Mar-56, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-Apr-56, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
01-May-56, NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN , NaN 
